1,00100873,图像处理中的数学方法,数学科学学院,专业任选,1,3,1-16,星期三(第7节-第8节)；星期五(第5节-第6节)(单),董彬,研本合上
2,00100880,现代数学物理选讲,数学科学学院,专业任选,1,3,1-16,星期一(第5节-第6节)(单)；星期三(第7节-第8节),方博汉,研本合上
3,00100885,代数几何选讲,数学科学学院,专业任选,1,3,1-16,星期二(第3节-第4节)；星期四(第1节-第2节)(双),訚琪峥,研本合上
4,00100890,代数选讲,数学科学学院,专业任选,1,3,1-16,星期一(第3节-第4节)(单)；星期四(第5节-第6节),傅翔,研本合上
5,00102078,无穷范畴,数学科学学院,专业任选,1,3,1-16,星期二(第5节-第6节)(双)；星期五(第7节-第8节),ThiangGuoChuan,研本合上
6,00102265,数论专题II,数学科学学院,专业任选,1,3,1-16,星期二(第5节-第6节)(单)；星期四(第7节-第8节),肖梁,研本合上
7,00102516,统计模型和计算方法,数学科学学院,专业任选,1,3,1-16,星期一(第7节-第8节)；星期三(第3节-第4节)(双),张成,研本合上
8,00102534,代数几何 I,数学科学学院,专业任选,1,3,1-16,星期二(第5节-第6节)(双)；星期四(第3节-第4节),刘济豪,研本合上
9,00102663,表示论专题II,数学科学学院,专业任选,1,3,1-16,星期三(第5节-第6节)(双)；星期五(第1节-第2节),张继平,研本合上
10,00102886,应用偏微分方程选讲,数学科学学院,专业任选,1,2,1-16,星期二(第5节-第6节)(双)；星期四(第3节-第4节),Albert Lee Ai,研本合上
11,00102892,统计学习,数学科学学院,专业任选,1,3,1-16,星期二(第5节-第6节)；星期四(第3节-第4节)(单),席瑞斌,研本合上
12,00102931,代数几何专题,数学科学学院,专业任选,1,3,1-16,星期二(第1节-第2节)；星期四(第1节-第2节)(单),田志宇,研本合上
13,00103241,现代概率方法,数学科学学院,专业任选,1,3,1-16,星期三(第3节-第4节)(单)；星期五(第3节-第4节),李欣意,研本合上
14,00103335,深度学习与强化学习,数学科学学院,专业任选,1,3,1-16,星期一(第5节-第6节)(单)；星期三(第7节-第8节),林伟,研本合上
15,00104315,科学机器学习,数学科学学院,专业任选,1,3,1-16,星期二(第3节-第4节)(单)；星期四(第3节-第4节),黄政宇,研本合上
16,00104748,代数群及其表示,数学科学学院,专业任选,1,3,1-16,星期三(第7节-第8节)(双)；星期五(第3节-第4节),李文威,研本合上
17,00104761,逻辑专题II,数学科学学院,专业任选,1,3,1-16,星期二(第7节-第8节)；星期四(第5节-第6节)(单),Kyle Gannon,研本合上
18,00110000,黎曼几何引论,数学科学学院,专业任选,1,3,1-16,星期二(第1节-第2节)；星期四(第1节-第2节)(双),史宇光,研本合上
19,00110010,同调论,数学科学学院,专业任选,1,3,1-16,星期三(第3节-第4节)(单)；星期五(第5节-第6节),谢羿,研本合上
20,00110070,经典力学的数学方法,数学科学学院,专业任选,1,3,1-16,星期二(第3节-第4节)；星期四(第5节-第6节)(单),徐晓濛,研本合上
21,00110130,泛函分析（二）,数学科学学院,专业任选,1,3,1-16,星期二(第3节-第4节)；星期四(第7节-第8节)(单),章志飞,研本合上
22,00110400,随机分析,数学科学学院,专业任选,1,3,1-16,星期二(第3节-第4节)(单)；星期四(第5节-第6节),刘勇,研本合上
23,00110600,概率极限定理,数学科学学院,专业限选,1,3,1-16,星期二(第7节-第8节)；星期四(第1节-第2节)(双),许惟钧,研本合上
24,00110940,复分析,数学科学学院,专业任选,1,3,1-16,星期三(第1节-第2节)(单)；星期五(第3节-第4节),朱小华,研本合上
25,00111850,有限元方法 Ⅱ,数学科学学院,专业任选,1,3,1-16,星期二(第3节-第4节)(双)；星期四(第7节-第8节),吴朔男,研本合上
26,00111940,遍历论,数学科学学院,专业任选,1,3,1-16,星期三(第3节-第4节)；星期五(第5节-第6节)(双),李智强,研本合上
27,00112250,随机过程 II,数学科学学院,专业任选,1,3,1-16,星期三(第1节-第2节)(单)；星期五(第7节-第8节),许惟钧；孙鑫,研本合上
28,00112400,代数组合论,数学科学学院,专业任选,1,3,1-16,星期一(第3节-第4节)；星期三(第1节-第2节),高奕博,研本合上
29,00112610,同调代数,数学科学学院,专业任选,1,3,1-16,星期一(第5节-第6节)；星期三(第7节-第8节)(单),王立中,研本合上
30,00112630,高等概率论,数学科学学院,专业任选,1,3,1-16,星期三(第5节-第6节)；星期五(第5节-第6节)(单),葛颢,研本合上
31,00112640,高等统计学,数学科学学院,专业任选,1,3,1-16,星期一(第3节-第4节)；星期三(第1节-第2节)(双),苗旺,研本合上
32,00112710,二阶椭圆型方程,数学科学学院,专业任选,1,3,1-16,星期二(第7节-第8节)；星期四(第1节-第2节)(单),王超,研本合上
33,00112711,抽象代数Ⅱ,数学科学学院,专业任选,1,3,1-16,星期一(第1节-第2节)；星期三(第3节-第4节)(双),蔡金星,研本合上
34,00112720,数论1,数学科学学院,专业任选,1,3,1-16,星期一(第7节-第8节)；星期三(第5节-第6节)(单),谢俊逸,研本合上
35,00113180,模形式与数论,数学科学学院,专业任选,1,3,1-16,星期三(第3节-第4节)(单)；星期五(第5节-第6节),刘若川,研本合上
36,00113510,几何拓扑选讲,数学科学学院,专业任选,1,3,1-16,星期二(第7节-第9节),王诗宬,研本合上
37,00113690,随机模拟方法,数学科学学院,专业任选,1,3,1-16,星期一(第3节-第4节)；星期三(第5节-第6节)(单),李铁军,研本合上
38,00114250,机器学习,数学科学学院,专业任选,1,3,1-16,星期二(第1节-第2节)；星期四(第1节-第2节)(双),牟克典,研本合上
39,00117250,变分学,数学科学学院,专业任选,1,3,1-16,星期二(第5节-第6节)(单)；星期四(第5节-第6节),王嵬,研本合上
40,00130161,拓扑学,数学科学学院,专业任选,1,3,1-16,星期二(第7节-第8节)；星期四(第1节-第2节)(单),王家军,
41,00130201,高等数学 (B) (一),数学科学学院,专业必修,1,5,1-16,星期二(第1节-第2节)；星期五(第3节-第4节),楚健春,
42,00130201,高等数学 (B) (一),数学科学学院,专业必修,2,5,1-16,星期二(第1节-第2节)；星期五(第3节-第4节),柳彬,
